lambda_size,lambda_corr,lambda_risk,lambda_marginal,best_subset,best_score,base_score,pair_penalty,risk_used,selected_assets
0.15,1.0,0.5,0.25,fx_fomc_001|oil_opec_001|index_nfp_001,2.611423,2.895923,0.1345,3.5,fx|oil|index
0.15,1.0,0.5,0.5,fx_fomc_001|oil_opec_001|index_nfp_001,2.611423,2.895923,0.1345,3.5,fx|oil|index
0.15,1.0,0.5,0.75,fx_fomc_001|oil_opec_001|index_nfp_001,2.611423,2.895923,0.1345,3.5,fx|oil|index
0.15,1.0,1.0,0.0,fx_fomc_001|crypto_geo_001|oil_opec_001|index_nfp_001,2.485779,3.078779,0.293,3.5,fx|crypto|oil|index
0.15,1.0,1.0,0.25,fx_fomc_001|oil_opec_001|index_nfp_001,2.461423,2.895923,0.1345,3.5,fx|oil|index
0.15,1.0,1.0,0.5,fx_fomc_001|oil_opec_001|index_nfp_001,2.461423,2.895923,0.1345,3.5,fx|oil|index
0.15,1.0,1.0,0.75,fx_fomc_001|oil_opec_001|index_nfp_001,2.461423,2.895923,0.1345,3.5,fx|oil|index
0.15,1.0,1.5,0.0,fx_fomc_001|crypto_geo_001|oil_opec_001|index_nfp_001,2.335779,3.078779,0.293,3.5,fx|crypto|oil|index
0.15,1.0,1.5,0.25,fx_fomc_001|oil_opec_001|index_nfp_001,2.311423,2.895923,0.1345,3.5,fx|oil|index
0.15,1.0,1.5,0.5,fx_fomc_001|oil_opec_001|index_nfp_001,2.311423,2.895923,0.1345,3.5,fx|oil|index
0.15,1.0,1.5,0.75,fx_fomc_001|oil_opec_001|index_nfp_001,2.311423,2.895923,0.1345,3.5,fx|oil|index
0.15,1.5,0.5,0.0,fx_fomc_001|oil_opec_001|index_nfp_001,2.577923,2.895923,0.168,3.5,fx|oil|index
0.15,1.5,0.5,0.25,fx_fomc_001|oil_opec_001|index_nfp_001,2.577923,2.895923,0.168,3.5,fx|oil|index
0.15,1.5,0.5,0.5,fx_fomc_001|oil_opec_001|index_nfp_001,2.577923,2.895923,0.168,3.5,fx|oil|index
0.15,1.5,0.5,0.75,fx_fomc_001|oil_opec_001|index_nfp_001,2.577923,2.895923,0.168,3.5,fx|oil|index
0.15,1.5,1.0,0.0,fx_fomc_001|oil_opec_001|index_nfp_001,2.427923,2.895923,0.168,3.5,fx|oil|index
0.15,1.5,1.0,0.25,fx_fomc_001|oil_opec_001|index_nfp_001,2.427923,2.895923,0.168,3.5,fx|oil|index
0.15,1.5,1.0,0.5,fx_fomc_001|oil_opec_001|index_nfp_001,2.427923,2.895923,0.168,3.5,fx|oil|index
0.15,1.5,1.0,0.75,fx_fomc_001|oil_opec_001|index_nfp_001,2.427923,2.895923,0.168,3.5,fx|oil|index
0.15,1.5,1.5,0.0,fx_fomc_001|oil_opec_001|index_nfp_001,2.277923,2.895923,0.168,3.5,fx|oil|index
0.15,1.5,1.5,0.25,fx_fomc_001|oil_opec_001|index_nfp_001,2.277923,2.895923,0.168,3.5,fx|oil|index
0.15,1.5,1.5,0.5,fx_fomc_001|oil_opec_001|index_nfp_001,2.277923,2.895923,0.168,3.5,fx|oil|index
0.15,1.5,1.5,0.75,fx_fomc_001|oil_opec_001|index_nfp_001,2.277923,2.895923,0.168,3.5,fx|oil|index
