asset,event_type,ym,surprise,actual,forecast,early_bps,net_bps,pnl_timing,pnl_directed,surprise_z
FX,NFP,2024-04,127.0,303.0,176.0,20.887659425390392,24.628930069303667,2.7291267903105663,2.7291267903105663,1.1516872848300204
FX,CPI,2024-04,0.2,0.4,0.2,36.62074802488257,36.54171043921739,0.14905547639709837,0.14905547639709837,0.348394647036325
FX,NFP,2024-05,-22.0,175.0,197.0,-72.21807050807105,-66.25918226822792,12.279733487224776,12.279733487224776,-0.40832549189427997
FX,CPI,2024-05,0.1,0.3,0.2,-23.724716139236214,-26.553679581312608,-23.193363312141834,0.9059802553367255,0.0
FX,NFP,2024-06,54.0,272.0,218.0,64.00200588908334,79.4447801879894,-0.008586916544594203,-0.008586916544594203,0.38738572307918867
FX,CPI,2024-06,-0.2,0.0,0.2,-42.80135845024735,-69.00367595619295,5.1972118935349485,5.1972118935349485,-1.0451839411089752
FX,NFP,2024-07,-81.0,206.0,287.0,6.039211291455349,20.047691091227282,-1.5292174741400313,7.529740465524904,-1.0260486719394728
FX,CPI,2024-07,-0.2,-0.1,0.1,-42.614031993019054,-183.08250782185675,1.1440023863661395,1.1440023863661395,-1.0451839411089752
FX,NFP,2024-08,-127.0,114.0,241.0,-123.17213557661022,-102.48458670210847,5.762216789906184,5.762216789906184,-1.5076633546865723
FX,CPI,2024-08,0.1,0.2,0.1,31.749272625185565,26.011944260118103,23.427086168417045,23.427086168417045,0.0
FX,NFP,2024-09,38.0,142.0,104.0,-62.00576067033281,-16.15780745395923,57.77820813621648,-30.94690438256842,0.21986757255845846
FX,CPI,2024-09,-0.1,0.2,0.3,30.048352454477012,37.56749417195948,-0.4026242365863233,5.149456388053753,-0.69678929407265
FX,NFP,2024-10,-13.0,254.0,267.0,119.56677517761082,143.86230712009285,1.9753351478367662,-0.12092370632277216,-0.3140965322263692
FX,CPI,2024-10,0.1,0.2,0.1,-20.48107011912603,-20.54150606374039,-7.175056129247292,-0.2281179838449212,0.0
