asset,event_type,early_bps,bucket,gross_bps,net_retail_conservative_bps,net_retail_optimistic_bps
CRYPTO,CPI,49.27937465567523,mid,5.175048662582338,-17.90796363164258,1.5969091785041982
CRYPTO,NFP,27.351863530380438,small,0.4076945552400346,-27.646013662175875,-12.647857443027537
CRYPTO,FOMC,15.845072981823805,small,3.193047414160599,-29.229491499458398,-8.2337483831516
CRYPTO,CPI,30.483288606741876,small,10.43633747340511,-39.41578052315984,-21.42563126945584
CRYPTO,NFP,43.37622359737337,small,1.916666378734,-26.538154301350964,-11.539665674501258
CRYPTO,CPI,40.60809187723669,small,0.16138447087588048,-32.4217966068918,-14.427449702367527
CRYPTO,FOMC,16.88458833704054,small,1.421688061575832,-35.2082509203677,-14.217891110968932
CRYPTO,NFP,0.45566892565851447,small,1.7937274124280034,-26.729481536680293,-11.727912627402574
CRYPTO,CPI,35.89781576571749,small,2.7033662709086137,-29.296640985544393,-9.800313445194934
CRYPTO,FOMC,6.612785340838201,small,-31.477896876181966,-62.434754341023066,-44.46006521018541
CRYPTO,NFP,24.779893084739825,small,0.47560188283002347,-34.180324292032424,-19.18412866035645
CRYPTO,CPI,32.862428131636975,small,6.2895271406882,-39.241590508584096,-21.251336709477755
CRYPTO,NFP,35.50710648295707,small,18.60099906168533,-21.87264145699695,-6.87252938136073
CRYPTO,CPI,71.84871631651491,mid,35.026269702276295,-9.045968122646224,10.442523053042727
CRYPTO,FOMC,42.89963471546754,small,-41.577963000469786,-67.47266759356549,-49.50100128656131
CRYPTO,NFP,1.0855546860022436,small,0.9936777977692657,-27.003087158894417,-12.004738032840072
CRYPTO,FOMC,34.27583462046191,small,4.570364268060567,-24.405223262438085,-6.402729571893577
CRYPTO,NFP,4.66944736451369,small,1.0826400611962939,-24.740087994333784,-9.741059866613437
CRYPTO,CPI,7.557923767841368,small,2.4803948343798954,-34.16709855746268,-16.160398626428922
CRYPTO,NFP,4.103779033246546,small,3.8800489205370603,-21.489518804601573,-6.48951535972752
CRYPTO,CPI,3.626215759404694,small,3.6108237836551815,-28.09618806789647,-11.592393941216354
CRYPTO,FOMC,44.25347024782145,small,-10.683843246961366,-51.406557043207606,-30.43078227514239
FX,NFP,33.103940879932736,mid,0.9650070077893425,-1.698384216419368,-1.0489759897632118
FX,CPI,29.35006666332951,mid,2.553369992431831,-1.6980296013664904,-1.0486213977341392
FX,FOMC,21.436177814246893,mid,1.7998227866788952,-1.744754040215612,-1.095342802654597
FX,NFP,35.417661974933566,mid,0.922381589263388,-1.5140405600196245,-0.8646443032352288
FX,CPI,49.6645787776584,big,9.170254858605897,8.161243996908496,8.585555449898541
FX,NFP,0.23124381422823248,small,-0.6935742656211108,-1.8040227498579582,-1.6040488303299845
FX,CPI,30.03867994403775,mid,-8.798823157403213,-9.35596761277373,-8.9309122475552
FX,FOMC,20.11035384098747,small,3.127112525465048,-0.31892857394315544,0.3304427749188491
FX,NFP,33.97738222019275,mid,4.483765993638089,3.340966995801065,3.990048005332714
FX,CPI,47.49872278143719,big,2.4053583984007254,-1.2822808465747122,-0.632899638503703
FX,FOMC,11.054019494418643,small,6.789311282897614,5.453481611786115,5.878400164914099
FX,NFP,35.854461578528344,mid,10.701677986046931,9.27217700612366,9.69725772777692
FX,CPI,30.0545691255083,mid,1.7025741079867984,2.1156138133430873,2.540390617245381
FX,NFP,47.99331947675456,big,1.1980959490531795,0.37537750212908205,1.0246510744786446
FX,CPI,40.49560678394349,mid,-0.23119035288843293,-2.484397613630884,-1.8351668829848395
FX,FOMC,22.093790215079736,mid,-10.536385188062436,-13.307088910645293,-12.881865751170496
FX,NFP,23.875827225832147,mid,1.3844535100493438,-0.40646620348709883,0.24289946097639825
FX,CPI,36.78012582674528,mid,1.4692513246239436,1.6998589940512958,2.3493614361295827
FX,FOMC,8.690426662968376,small,4.902323516352558,3.6140362955609633,4.03854085710571
